14239,Poverty,1
14239,Immigration,1
17185,Womens’ Issues,1
17185,Civil Rights,1
21289,Live Music,1
21289,Theater,1
21289,Film,1
21289,Ballet,1
21289,Comedy,1
21289,Opera,1
21289,Beach Getaways,1
21289,Mountain Getaways,1
21289,Adventure Travel,1
21289,Hiking,1
21289,Soccer,1
21289,Football,1
21289,Watching sports,1
21289,Lounges & Clubs,1
21289,Bars,1
21289,Dining,1
21289,Mentorship,1
21289,Teaching,1
21289,After-school Programs,1
20686,Theater,1
20686,Film,1
20686,Soccer,1
20686,Lounges & Clubs,1
20686,Education Improvement,1
28324,Live Music,1
28324,Theater,1
28324,Film,1
28324,Comedy,1
28324,Beach Getaways,1
28324,Mountain Getaways,1
28324,Luxury Travel,1
28324,Adventure Travel,1
28324,Hiking,1
28324,Skiing / Snowboarding,1
28324,Gym,1
28324,Spin,1
28324,Lounges & Clubs,1
28324,Bars,1
28324,Dancing,1
28324,Dining,1
28324,Karaoke,1
28324,Education Improvement,1
28324,Poverty Reduction,1
28324,Mentorship,1
28324,Teaching,1
28324,After-school Programs,1
10300,Theater,1
10300,Film,1
10300,Comedy,1
10300,Adventure Travel,1
10300,Hiking,1
10300,Skiing / Snowboarding,1
10300,Watersports,1
10300,Jogging,1
10300,Yoga,1
10300,Dancing,1
10300,Dining,1
10300,Karaoke,1
10300,Education Improvement,1
10300,Healthcare,1
10300,Mentorship,1
10300,Teaching,1
22143,Live Music,1
22143,Theater,1
22143,Film,1
22143,Ballet,1
22143,Mountain Getaways,1
22143,Luxury Travel,1
22143,Hiking,1
22143,Skiing / Snowboarding,1
22143,Lounges & Clubs,1
22143,Bars,1
22143,Dancing,1
22143,Dining,1
22143,Education Improvement,1
22143,Local Politics,1
22143,After-school Programs,1
17258,Humanitarian Aid,1
17258,Womens’ Issues,1
17258,Poverty,1
17258,Child services,1
17258,Peace/Nonviolence,1
17258,Global health,1
7023,Film,1
7023,Comedy,1
7023,Beach Getaways,1
7023,Mountain Getaways,1
7023,Luxury Travel,1
7023,Adventure Travel,1
7023,Hiking,1
7023,Baseball,1
7023,Football,1
7023,Jogging,1
7023,Gym,1
7023,Watching sports,1
7023,Lounges & Clubs,1
7023,Bars,1
7023,Dining,1
7023,Mentorship,1
7023,Teaching,1
240,Education,1
240,Environmental Protection,1
240,Clean Water,1
240,Global health,1
17246,Environmental Protection,1
17246,Humanitarian Aid,1
17246,Poverty,1
17246,Health care,1
17246,Peace/Nonviolence,1
17246,Global health,1
13320,Education,1
13320,Immigration,1
13688,Education,1
13688,Humanitarian Aid,1
13688,Poverty,1
13688,Immigration,1
13688,Peace/Nonviolence,1
16666,Education,1
16666,Child services,1
19225,Live Music,1
19225,Comedy,1
19225,Beach Getaways,1
19225,Luxury Travel,1
19225,Hiking,1
19225,Soccer,1
19225,Baseball,1
19225,Football,1
19225,Watersports,1
19225,Beach Volley,1
19225,Gym,1
19225,Watching sports,1
19225,Bars,1
19225,Dining,1
19225,Karaoke,1
19225,Education Improvement,1
19225,Poverty Reduction,1
19225,Mentorship,1
19225,Local Politics,1
19225,After-school Programs,1
14178,Live Music,1
14178,Comedy,1
14178,Beach Getaways,1
14178,Adventure Travel,1
14178,Skiing / Snowboarding,1
14178,Hockey,1
14178,Gym,1
14178,Lounges & Clubs,1
14178,Dancing,1
14178,Dining,1
14178,Education Improvement,1
14178,Healthcare,1
14178,Mentorship,1
20247,Education,1
20247,Womens’ Issues,1
20247,Poverty,1
20247,Child services,1
20247,Civil Rights,1
20247,Global health,1
124,Education,1
22430,Live Music,1
22430,Theater,1
22430,Comedy,1
22430,Beach Getaways,1
22430,Mountain Getaways,1
22430,Adventure Travel,1
22430,Hiking,1
22430,Beach Volley,1
22430,Jogging,1
22430,Yoga,1
22430,Lounges & Clubs,1
22430,Bars,1
22430,Dancing,1
22430,Dining,1
22430,Education Improvement,1
22430,Poverty Reduction,1
22430,Mentorship,1
22430,Teaching,1
17247,Education,1
17247,Environmental Protection,1
17247,Poverty,1
17247,Health care,1
17247,Civil Rights,1
17247,Animal Rights,1
17247,Veterans,1
17247,Global health,1
19151,Live Music,1
19151,Theater,1
19151,Film,1
19151,Comedy,1
19151,Beach Getaways,1
19151,Mountain Getaways,1
19151,Adventure Travel,1
19151,Hiking,1
19151,Skiing / Snowboarding,1
19151,Hockey,1
19151,Baseball,1
19151,Football,1
19151,Golf,1
19151,Watersports,1
19151,Jogging,1
19151,Gym,1
19151,Yoga,1
19151,Watching sports,1
19151,Bars,1
19151,Dining,1
19151,Education Improvement,1
19151,Poverty Reduction,1
19151,Mentorship,1
17212,Live Music,1
17212,Film,1
17212,Beach Getaways,1
17212,Mountain Getaways,1
17212,Luxury Travel,1
17212,Adventure Travel,1
17212,Tennis,1
17212,Hockey,1
17212,Football,1
17212,Watersports,1
17212,Beach Volley,1
17212,Yoga,1
17212,Watching sports,1
17212,Lounges & Clubs,1
17212,Bars,1
17212,Dining,1
17212,Mentorship,1
20258,Live Music,1
20258,Theater,1
20258,Film,1
20258,Ballet,1
20258,Comedy,1
20258,Opera,1
20258,Luxury Travel,1
20258,Hiking,1
20258,Jogging,1
20258,Gym,1
20258,Yoga,1
20258,Spin,1
20258,Poverty Reduction,1
20258,Mentorship,1
17031,Live Music,1
17031,Theater,1
17031,Comedy,1
17031,Opera,1
17031,Beach Getaways,1
17031,Luxury Travel,1
17031,Hiking,1
17031,Tennis,1
17031,Jogging,1
17031,Yoga,1
17031,Lounges & Clubs,1
17031,Bars,1
17031,Dancing,1
17031,Dining,1
17031,Karaoke,1
17031,Education Improvement,1
17031,Mentorship,1
10417,Film,1
10417,Mountain Getaways,1
10417,Adventure Travel,1
10417,Skiing / Snowboarding,1
10417,Soccer,1
10417,Basketball,1
10417,Football,1
10417,Lounges & Clubs,1
10417,Bars,1
10417,Dining,1
10417,Healthcare,1
10417,Mentorship,1
10417,Local Politics,1
10417,Teaching,1
10417,After-school Programs,1
17026,Live Music,1
17026,Theater,1
17026,Film,1
17026,Ballet,1
17026,Comedy,1
17026,Opera,1
17026,Hiking,1
17026,Basketball,1
17026,Yoga,1
17026,Dancing,1
17026,Dining,1
17026,Education Improvement,1
17026,Poverty Reduction,1
17026,Healthcare,1
17026,Mentorship,1
17026,Local Politics,1
17026,Teaching,1
17026,After-school Programs,1
20261,Education,1
20261,Immigration,1
29410,Education,1
29410,Clean Water,1
29410,Health care,1
29410,Global health,1
3067,Education,1
3067,Womens’ Issues,1
3067,Poverty,1
3067,Immigration,1
3067,Health care,1
3067,Global health,1
10566,Live Music,1
10566,Theater,1
10566,Film,1
10566,Comedy,1
10566,Mountain Getaways,1
10566,Luxury Travel,1
10566,Adventure Travel,1
10566,Hiking,1
10566,Tennis,1
10566,Watersports,1
10566,Dancing,1
10566,Dining,1
18627,Live Music,1
18627,Theater,1
18627,Film,1
18627,Ballet,1
18627,Comedy,1
18627,Opera,1
18627,Beach Getaways,1
18627,Adventure Travel,1
18627,Jogging,1
18627,Gym,1
18627,Yoga,1
18627,Lounges & Clubs,1
18627,Dining,1
18627,Education Improvement,1
18627,Mentorship,1
18627,Teaching,1
20278,Live Music,1
20278,Theater,1
20278,Film,1
20278,Ballet,1
20278,Comedy,1
20278,Opera,1
20278,Beach Getaways,1
20278,Mountain Getaways,1
20278,Luxury Travel,1
20278,Adventure Travel,1
20278,Hiking,1
20278,Basketball,1
20278,Tennis,1
20278,Football,1
20278,Watersports,1
20278,Gym,1
20278,Yoga,1
20278,Spin,1
20278,Watching sports,1
20278,Lounges & Clubs,1
20278,Bars,1
20278,Dancing,1
20278,Dining,1
20278,Poverty Reduction,1
20278,Mentorship,1
3335,Live Music,1
3335,Film,1
3335,Beach Getaways,1
3335,Mountain Getaways,1
3335,Adventure Travel,1
3335,Hiking,1
3335,Soccer,1
3335,Basketball,1
3335,Tennis,1
3335,Baseball,1
3335,Gym,1
3335,Yoga,1
3335,Lounges & Clubs,1
3335,Bars,1
3335,Dining,1
3335,Education Improvement,1
3335,After-school Programs,1
7979,Education,1
7979,Womens’ Issues,1
7979,Civil Rights,1
7979,Veterans,1
21440,Live Music,1
21440,Theater,1
21440,Film,1
21440,Ballet,1
21440,Beach Getaways,1
